replicas,virtual users,pod response,node response,failed rate,http reqs,http req duration (90%),http req duration (95%)
3,2250,1.6683239729669417,43.143750000000416,0.00,178799,2.64s,2.84s
4,100,0.18167326207323817,8.129166666667118,0.03,23364,35.52ms,"41.88ms
"
4,250,0.35583387780089826,15.389809596852274,0.00,58339,44.32ms,"61.24ms
"
4,500,0.7940276540974569,28.08958333333294,0.00,114755,82.76ms,"128.75ms
"
4,750,1.2077255811901026,39.289583333333745,0.00,159254,309.34ms,"434.46ms
"
4,1000,1.389844247416065,44.60416666666711,0.00,178405,741.1ms,952.1ms
4,1250,1.5962355127674341,50.50208333333406,0.00,196888,956.25ms,1.15s
4,1500,1.5514533428478952,49.06041666666702,0.00,192704,1.53s,1.73s
4,1750,1.5336194475309293,49.16666666666592,0.00,192756,1.98s,2.2s
4,2000,1.5083525052226414,47.918749999999655,0.00,191944,2.32s,2.55s
4,2250,1.3999499690915083,47.9208333333338,0.00,192459,2.65s,2.88s
5,100,0.1424471768564089,7.804166666667243,0.00,23460,34.51ms,42.4ms
5,250,0.32148060959394853,14.866666666666035,0.00,58512,38.52ms,"52.43ms
"
5,500,0.6590451510945724,27.75416666666615,0.00,114815,84.78ms,"133.84ms
"
5,750,0.9616354087915877,37.47291666666721,0.00,159259,308.83ms,"433.95ms
"
5,1000,1.1821972593912475,46.7833333333336,0.00,179557,735.59ms,"933.45ms
"
5,1250,1.0638970397124818,50.27916666666746,0.00,192291,1.03s,1.23s
5,1500,1.1008464297447917,47.20625000000154,0.00,189869,1.59s,1.8s
5,1750,1.0796944819054313,47.618749999999935,0.00,190841,2.16s,2.39s
5,2000,0.939112571077461,47.162499999998694,0.00,189033,2.64s,2.87s
5,2250,0.9440797503726639,45.793750000000266,0.00,185264,3.04s,3.3s
6,100,0.12990129456688457,8.37083333333264,0.01,23373,34.21ms,"41.01ms
"
6,250,0.28131266866699783,15.587500000000716,0.00,58402,43.54ms,"60.58ms
"
6,500,0.5524943268141385,28.31666666666858,0.00,114144,100.55ms,"161.56ms
"
6,750,0.7950083731684151,38.502083333334355,0.00,155361,379.03ms,"509.16ms
"
6,1000,0.9815614085495121,44.18541666666517,0.00,181974,675.52ms,"835.36ms
"
6,1250,1.0997353693035485,49.9708333333327,0.00,189854,1.06s,1.31s
6,1500,1.0104291844962905,48.920833333332524,0.00,191884,1.54s,1.76s
6,1750,0.8510117757042103,48.381250000000676,0.00,189462,2.21s,2.46s
6,2000,0.8144570990837856,48.30833333333126,0.00,190865,2.83s,3.06s
6,2250,0.9753161559589918,47.779166666666704,0.00,190315,3.22s,3.47s
7,100,0.11846238347371582,8.522916666663619,0.03,23376,35.86ms,43ms
7,250,0.24853419447165498,15.643750000000026,0.00,58414,42.39ms,"56.42ms
"
7,500,0.48248036645227066,28.38541666666667,0.00,115170,78.76ms,"121.93ms
"
7,750,0.7090641997577232,39.895833333332575,0.00,158008,342.81ms,"462.13ms
"
7,1000,0.8310915853464631,45.80000000000081,0.00,184105,661.67ms,"805.18ms
"
7,1250,0.8907839316578912,50.48125000000028,0.00,192098,1.02s,1.22s
7,1500,0.8849485727053094,50.06249999999985,0.00,184075,1.69s,1.95s
7,1750,0.8032416103299991,49.24791666666655,0.00,188811,2.24s,2.47s
7,2000,0.7296814776463438,46.53750000000096,0.00,183155,3.09s,3.35s
7,2250,0.7306588534173448,49.293750000002404,0.00,178548,3.77s,4.09s
8,100,0.1096505243421286,9.179166666666177,0.01,23398,35.97ms,"42.91ms
"
8,250,0.22125870160942143,16.085416666668024,0.00,58367,43.25ms,"58.72ms
"
8,500,0.4273190574919139,28.791666666665293,0.00,114512,82.99ms,"129.33ms
"
8,750,0.6314497060837604,40.081249999999116,0.00,158736,319.55ms,"436.82ms
"
8,1000,0.7593393063809987,46.30833333333537,0.00,184500,646.25ms,"795.46ms
"
8,1250,0.7581304082314871,48.82083333333564,0.00,190460,1.05s,1.26s
8,1500,0.741294106953297,49.689583333333,0.00,188011,1.64s,1.86s
8,1750,0.6737691146312507,50.70208333333313,0.00,182384,2.33s,2.61s
8,2000,0.7506046008478146,49.856250000001026,0.00,189555,2.89s,3.14s
8,2250,0.622032911158593,49.32083333333139,0.00,188922,3.63s,3.87s
9,100,0.09917293806024782,9.456249999999116,0.02,23413,35.75ms,"41.87ms
"
9,250,0.19886334448060725,16.37708333333346,0.00,58425,42.44ms,"59.16ms
"
9,500,0.3778773466512414,28.770833333333798,0.00,114492,90.45ms,143ms
9,750,0.5612953309093468,40.83750000000084,0.00,160022,281.49ms,"399.13ms
"
9,1000,0.6707410559154652,44.17083333333495,0.00,181432,680.71ms,"841.18ms
"
9,1250,0.6951571529949911,48.458333333331495,0.00,189438,1.04s,1.23s
9,1500,0.7071226385438256,51.116666666666795,0.00,181717,1.78s,2.03s
9,1750,0.6906340362364249,50.804166666666774,0.00,190965,2.2s,2.44s
9,2000,0.6186409634431936,51.964583333334915,0.00,185405,2.91s,3.2s
9,2250,0.6054568805301189,51.73541666666703,0.00,191712,3.51s,3.77s
