replicas,virtual users,pod response,node response,failed rate
1,100,0.4953030036027567,10.287499999999454,0.00
1,250,0.49571286377239043,10.199999999998298,0.00
1,500,0.49727400749309864,10.174999999997752,0.00
1,750,0.496073872778633,10.237499999999883,0.02
1,1000,0.4965710458391868,10.391666666667632,0.00
1,1250,0.3525616874999997,10.383333333332615,0.00
1,1500,0.49585704632181454,10.179166666666788,0.28
1,1750,0.4962258302583029,10.241666666665878,0.01
1,2000,0.4967830778631522,10.179166666666788,0.11
1,2250,0.4962802494847358,10.479166666664241,0.39
2,100,0.36276788954459616,12.812500000003041,0.26
2,250,0.4968694530408183,16.979166666666643,0.00
2,500,0.45505574280307975,18.34166666666836,0.00
2,750,0.4604410728680489,17.233333333330535,0.00
2,1000,0.49754565910602555,17.124999999999403,0.02
2,1250,0.4582402198342731,17.058333333334303,0.04
2,1500,0.497027860463216,17.162500000000975,0.00
2,1750,0.4973761134760876,17.12083333333338,0.03
2,2000,0.49706675358061536,17.195833333333525,0.02
2,2250,0.4969654062662683,18.59583333333073,0.03
3,100,0.30893586714903076,17.083333333333343,0.19
3,250,0.3970086114023506,21.066666666667217,0.00
3,500,0.4692960414752605,23.829166666666126,0.00
3,750,0.4349613835783267,23.954166666668854,0.00
3,1000,0.49752559067665936,23.945833333332317,0.00
3,1250,0.4974201534807343,24.024999999999935,0.03
3,1500,0.49684205226993916,24.029166666664423,0.02
3,1750,0.4973215666177526,24.549999999999272,0.02
3,2000,0.39038218198438834,24.22083333333073,0.04
3,2250,0.49716238798765555,24.116666666664045,0.01
4,100,0.2448876871270682,15.562499999997883,0.03
4,250,0.36229076462182136,24.24166666666831,0.00
4,500,0.4793929885561069,27.958333333331225,0.00
4,750,0.4267974862579701,30.80416666666528,0.00
4,1000,0.45531164178892514,31.02083333333212,0.02
4,1250,0.4970507638238185,31.083333333335773,0.05
4,1500,0.49700738401062605,32.35833333333328,0.02
4,1750,0.4742344741828354,30.975000000000065,0.05
4,2000,0.4703324925500822,31.050000000000182,0.20
4,2250,0.45411249540550075,29.61249999999987,1.27
5,100,0.21059561388046605,19.479166666668192,0.05
5,250,0.3385213805996599,30.56250000000395,0.00
5,500,0.4367285568849558,37.070833333332295,0.00
5,750,0.4392920022188148,32.329166666665216,0.37
5,1000,0.497164341909588,37.4375000000009,0.30
5,1250,0.4189347580416809,35.59166666666442,0.11
5,1500,0.4478362145420123,37.33333333333122,0.70
5,1750,0.4975072860378814,37.00416666666568,0.17
5,2000,0.4326394574638418,37.458333333332426,0.43
5,2250,0.3669782360586118,38.57083333333322,0.20
6,100,0.2786623936487509,27.745833333333394,0.17
6,250,0.34533913927134413,33.92916666666527,0.00
6,500,0.47499072897586725,43.6166666666683,0.00
6,750,0.49559517194401326,43.300000000002306,0.00
6,1000,0.45072530407265915,39.96666666666897,0.04
6,1250,0.4540577696401522,43.49166666666709,0.45
6,1500,0.43113398415123894,43.68750000000242,0.41
6,1750,0.49776046979828253,43.358333333335395,0.60
6,2000,0.4898227535176731,43.35000000000188,0.17
6,2250,0.4803604430943871,39.45000000000012,0.86

