replicas,virtual users,pod response,node response,failed rate
3,500,0.7884325303810412,65.65416666666351,0.14
3,1000,0.42360655867174274,44.60937500000001,0.00
3,1500,0.43239815654355707,44.110416666662786,1.51
3,2000,0.41931527825094356,44.43333333333309,1.13
3,2500,0.5175699630450656,53.96145833333018,2.89
3,3000,0.4930314366309571,54.890624999995154,2.81
3,3500,0.4439315826441167,43.32187500000752,4.11
3,4000,0.34813657348231264,41.9802083333343,9.50
4,500,0.4852443169121979,55.36666666666861,0.02
4,1000,0.326101075998676,44.62604166667007,0.00
4,1500,0.3294341539668293,44.74479166666545,0.51
4,2000,0.33444311000830923,46.82291666666667,1.43
4,2500,0.3285467816124035,46.77395833333624,12.19
5,500,0.39298173319685736,68.42916666667709,0.00
5,1000,0.31504536198824673,52.72812500000023,0.00
5,1500,0.3338874519142779,56.18020833334109,0.84
5,2000,0.3462888201085682,57.51249999999952,0.92
5,2500,0.30491507813243196,49.08229166666085,4.56
5,3000,0.3005956469367176,52.71250000000388,5.16
6,500,0.3601441179347896,64.01874999999563,0.00
6,1000,0.23260588359049666,54.71041666667588,0.00
6,1500,0.27167737585646323,53.18645833333599,5.40
