replicas,virtual users,pod response,node response,failed rate
1,1000,1.1473070985614753,7.233333333327522,0.00
1,1250,1.399808206295789,6.999999999995154,0.27
1,1500,1.399489387912764,6.916666666656965,0.00
1,1750,0.8450678874999995,7.216666666669582,0.00
1,2000,1.2945920930745525,7.48333333334206,0.19
1,2250,1.3989459981314158,7.159284071582178,1.01
2,1000,1.3980385086880078,7.133333333331393,0.32
2,1250,0.8966739761620046,7.516666666682198,0.06
2,1500,0.8889687309263756,19.28333333334497,0.77
2,1750,0.9622577045685006,8.449999999987384,0.71
2,2000,0.6412617687590494,7.833333333352741,0.30
2,2250,0.8422713083943738,7.599999999971871,1.73
3,1000,0.8447158243868755,7.3166666666899545,0.07
3,1250,0.582999482227836,7.016666666677338,0.21
3,1500,0.7174612732167847,12.483333333317816,0.05
3,1750,0.9059254655910137,7.96666666668898,1.16
3,2000,0.7289709169955401,6.833333333318777,0.90
3,2250,0.31161600339595874,6.166666666686055,3.48
4,1000,0.32982154586923007,26.51111111111075,0.00
4,1250,0.3066957958900063,25.11666666666619,0.00
4,1500,0.3570826554454612,23.561111111111032,0.46
4,1750,0.2831678912102392,20.072222222222294,0.29
4,2000,0.24805969592249172,18.31666666666733,1.73
4,2250,0.22087236655216974,19.744444444443914,2.72
5,1000,0.27737890702222545,21.86666666666801,0.25
5,1250,0.1947932090287122,18.95000000000033,0.50
5,1500,0.26741289773306703,21.561111111109838,0.27
5,1750,0.2268482457315286,21.31666666666611,0.22
5,2000,0.28673589647877085,23.788888888888735,0.21
5,2250,0.22352623961190776,20.844444444444704,0.33
6,1000,0.13712370802515408,18.444444444443846,0.04
6,1250,0.21392785618468385,21.899999999999025,0.18
6,1500,0.12551706373156613,17.694444444443647,0.68
6,1750,0.18392453760443334,20.494444444446145,0.88
6,2000,0.14044406252293865,19.01666666666644,1.25
6,2250,0.2741776386163382,26.927777777776413,1.15
