replicas,virtual users,pod response,node response,failed rate
4,100,0.2177028710676332,6.656250000000156,0.09
4,250,0.13057905159159017,6.6104166666665805,0.00
4,500,0.14296724906666786,6.608333333333576,0.26
4,750,0.1499516063457262,6.658333333333161,0.80
4,1000,0.13454425644153417,6.639583333333121,2.63
4,1250,0.13464487357311278,6.716666666666995,8.27
5,100,0.1890574677116678,6.647916666666646,0.00
5,250,0.11877528940078833,6.752083333334056,0.01
5,500,0.10703634743951601,6.741666666666788,0.59
5,750,0.0917047734049958,6.716666666666242,2.80
5,1000,0.09947961771123817,6.645833333333641,6.71
6,100,0.13405662640311053,6.43958333333407,0.00
6,250,0.10588752604089047,6.493750000000404,0.00
6,500,0.10819636965345247,6.58958333333355,0.07
6,750,0.10001522949745978,6.022916666666632,0.43
6,1000,0.1142952725542278,6.722916666666762,1.88
6,1250,0.1140520401534525,6.754166666667061,7.98
